date,W_0,W_1,const,trend
2019-09-10,0.01574895006999427,0.016686531585218902,1.0,0.0
2019-09-19,0.007582827811478967,0.008939213349230703,1.0,0.011764705882352941
2019-09-22,0.0,0.0,1.0,0.023529411764705882
2019-09-30,0.0072911805879608,0.0017878426698434305,1.0,0.03529411764705882
2019-10-04,0.012249183387776266,0.011918951132303087,1.0,0.047058823529411764
2019-10-11,0.0274148390107342,0.023480333730632068,1.0,0.058823529411764705
2019-10-16,0.0355809612692495,0.03337306317044458,1.0,0.07058823529411765
2019-10-22,0.10242650489967167,0.08104886769964338,1.0,0.08235294117647059
2019-10-28,0.14524031731217968,0.14541120381406786,1.0,0.09411764705882353
2019-11-02,0.14990667288847698,0.15017878426698367,1.0,0.10588235294117647
2019-11-09,0.20940270648623605,0.20178784266984343,1.0,0.11764705882352941
2019-11-13,0.23856742883807924,0.23480333730632066,1.0,0.12941176470588234
2019-11-21,0.29573028464769296,0.3051251489868899,1.0,0.1411764705882353
2019-11-24,0.21756882874475134,0.2558998808104881,1.0,0.15294117647058825
2019-12-03,0.24638357442837408,0.2470798569725911,1.0,0.16470588235294117
2019-12-05,0.24755016332244673,0.25351609058403013,1.0,0.1764705882352941
2019-12-15,0.193887074195051,0.19463647199046294,1.0,0.18823529411764706
2019-12-16,0.20555296313579094,0.19749702026221513,1.0,0.2
2019-12-27,0.299230051329911,0.2848629320619774,1.0,0.21176470588235294
2020-01-07,0.299230051329911,0.29439809296782254,1.0,0.22352941176470587
2020-01-08,0.30354643023798783,0.3051251489868899,1.0,0.23529411764705882
2020-01-18,0.20590293980401142,0.2228843861740176,1.0,0.24705882352941178
2020-01-20,0.17475501633224336,0.1942789034564956,1.0,0.2588235294117647
2020-01-29,0.21173588427438136,0.21930870083433074,1.0,0.27058823529411763
2020-02-01,0.19307046196920544,0.19666269368296027,1.0,0.2823529411764706
2020-02-09,0.19307046196920544,0.1918951132300377,1.0,0.29411764705882354
2020-02-13,0.218735417638824,0.21537544696066976,1.0,0.3058823529411765
2020-02-20,0.17988800746617237,0.17640047675804774,1.0,0.3176470588235294
2020-02-25,0.23775081661222705,0.28605482717521313,1.0,0.32941176470588235
2020-03-02,0.20706952869808407,0.17997616209773462,1.0,0.3411764705882353
2020-03-08,0.15422305179654716,0.17163289630512515,1.0,0.3529411764705882
2020-03-13,0.21640223985067866,0.20059594755661447,1.0,0.36470588235294116
2020-03-24,0.2482501166588877,0.25303933253873584,1.0,0.3764705882352941
2020-04-01,0.23740083994400657,0.24433849821215908,1.0,0.38823529411764707
2020-04-04,0.23040130657956395,0.2371871275327786,1.0,0.4
2020-04-13,0.1977368175454961,0.20500595947556974,1.0,0.4117647058823529
2020-04-15,0.19307046196920544,0.19666269368296027,1.0,0.4235294117647059
2020-04-25,0.1942370508632781,0.19785458879618925,1.0,0.43529411764705883
2020-04-26,0.1942370508632781,0.19785458879618925,1.0,0.44705882352941173
2020-05-18,0.20123658422772073,0.2061978545887987,1.0,0.4588235294117647
2020-05-19,0.20123658422772073,0.20500595947556974,1.0,0.47058823529411764
2020-05-29,0.19540363975735078,0.20023837902264716,1.0,0.4823529411764706
2020-05-31,0.1942370508632781,0.1990464839094182,1.0,0.49411764705882355
2020-06-09,0.190387307512833,0.1942789034564956,1.0,0.5058823529411764
2020-06-12,0.18840410639290814,0.19308700834326664,1.0,0.5176470588235293
2020-06-20,0.1857209519365357,0.19070321811680874,1.0,0.5294117647058824
